source,target,value
npr.org,janraincapture.com,1
janraincapture.com,publicmediasignin.org,1
quillbot.com,google-analytics.com,1
meetup.com,profitwell.com,1
hostinger.com,getbeamer.com,1
vecteezy.com,profitwell.com,1
vecteezy.com,hubspot.com,1
made-in-china.com,googletagmanager.com,1
googletagmanager.com,doubleclick.net,1
made-in-china.com,google-analytics.com,1
made-in-china.com,googletagmanager.com,1
googletagmanager.com,google.com,1
made-in-china.com,bing.com,1
made-in-china.com,google.com,1
made-in-china.com,google.co.jp,1
depositphotos.com,feedier.com,1
apartments.com,igodigital.com,1
apartments.com,criteo.com,1
hostinger.in,hostinger.com,1
hostinger.com,getbeamer.com,1
strikingly.com,cloudfront.net,1
cloudfront.net,getvero.com,1
ex.co,hubspot.com,1
airdroid.com,google-analytics.com,1
airdroid.com,googletagmanager.com,1
googletagmanager.com,doubleclick.net,1
airdroid.com,bing.com,1
airdroid.com,googletagmanager.com,1
googletagmanager.com,google-analytics.com,1
airdroid.com,google.com,1
airdroid.com,google.co.jp,1
airdroid.com,hubspot.com,1
airdroid.com,g2crowd.com,1
airdroid.com,hsleadflows.net,1
hsleadflows.net,hubspot.com,1
belfasttelegraph.co.uk,insurads.com,1
belfasttelegraph.co.uk,mediahuis.be,1
mediahuis.be,3lift.com,1
belfasttelegraph.co.uk,mediahuis.be,1
mediahuis.be,rubiconproject.com,1
belfasttelegraph.co.uk,linkedin.com,1
belfasttelegraph.co.uk,cxense.com,1
belfasttelegraph.co.uk,facebook.com,1
belfasttelegraph.co.uk,t.co,1
belfasttelegraph.co.uk,twitter.com,1
belfasttelegraph.co.uk,doubleclick.net,1
belfasttelegraph.co.uk,googletagmanager.com,1
googletagmanager.com,google-analytics.com,1
hungryroot.com,googletagmanager.com,1
googletagmanager.com,google.com,1
hungryroot.com,heapanalytics.com,1
appsumo.com,getbeamer.com,1
giphy.com,facebook.com,1
giphy.com,google-analytics.com,1
instagram.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pinterest.com,fbcdn.net,1
fbcdn.net,facebook.com,1
zoom.us,fbcdn.net,1
fbcdn.net,facebook.com,1
adobe.com,fbcdn.net,1
fbcdn.net,facebook.com,1
vimeo.com,fbcdn.net,1
fbcdn.net,facebook.com,1
tiktok.com,fbcdn.net,1
fbcdn.net,facebook.com,1
spotify.com,fbcdn.net,1
fbcdn.net,facebook.com,1
fandom.com,fbcdn.net,1
fbcdn.net,facebook.com,1
canva.com,fbcdn.net,1
fbcdn.net,facebook.com,1
nytimes.com,fbcdn.net,1
fbcdn.net,facebook.com,1
medium.com,fbcdn.net,1
fbcdn.net,facebook.com,1
naver.com,fbcdn.net,1
fbcdn.net,facebook.com,1
aliexpress.com,fbcdn.net,1
fbcdn.net,facebook.com,1
soundcloud.com,fbcdn.net,1
fbcdn.net,facebook.com,1
forbes.com,fbcdn.net,1
fbcdn.net,facebook.com,1
stackoverflow.com,fbcdn.net,1
fbcdn.net,facebook.com,1
indeed.com,fbcdn.net,1
fbcdn.net,facebook.com,1
etsy.com,fbcdn.net,1
fbcdn.net,facebook.com,1
booking.com,fbcdn.net,1
fbcdn.net,facebook.com,1
imgur.com,fbcdn.net,1
fbcdn.net,facebook.com,1
shopify.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pixiv.net,fbcdn.net,1
fbcdn.net,facebook.com,1
issuu.com,fbcdn.net,1
fbcdn.net,facebook.com,1
weebly.com,fbcdn.net,1
fbcdn.net,facebook.com,1
hp.com,fbcdn.net,1
fbcdn.net,facebook.com,1
washingtonpost.com,fbcdn.net,1
fbcdn.net,facebook.com,1
tinyurl.com,fbcdn.net,1
fbcdn.net,facebook.com,1
wsj.com,fbcdn.net,1
fbcdn.net,facebook.com,1
wix.com,fbcdn.net,1
fbcdn.net,facebook.com,1
alibaba.com,fbcdn.net,1
fbcdn.net,facebook.com,1
mediafire.com,fbcdn.net,1
fbcdn.net,facebook.com,1
slideshare.net,fbcdn.net,1
fbcdn.net,facebook.com,1
unsplash.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ilovepdf.com,fbcdn.net,1
fbcdn.net,facebook.com,1
xiaomi.com,fbcdn.net,1
fbcdn.net,facebook.com,1
fiverr.com,fbcdn.net,1
fbcdn.net,facebook.com,1
grammarly.com,fbcdn.net,1
fbcdn.net,facebook.com,1
npr.org,fbcdn.net,1
fbcdn.net,facebook.com,1
time.com,fbcdn.net,1
fbcdn.net,facebook.com,1
telegraph.co.uk,fbcdn.net,1
fbcdn.net,facebook.com,1
surveymonkey.com,fbcdn.net,1
fbcdn.net,facebook.com,1
goodreads.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pixabay.com,fbcdn.net,1
fbcdn.net,facebook.com,1
indiatimes.com,fbcdn.net,1
fbcdn.net,facebook.com,1
avast.com,fbcdn.net,1
fbcdn.net,facebook.com,1
yelp.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ted.com,fbcdn.net,1
fbcdn.net,facebook.com,1
patreon.com,fbcdn.net,1
fbcdn.net,facebook.com,1
livejournal.com,fbcdn.net,1
fbcdn.net,facebook.com,1
squarespace.com,fbcdn.net,1
fbcdn.net,facebook.com,1
latimes.com,fbcdn.net,1
fbcdn.net,facebook.com,1
zillow.com,fbcdn.net,1
fbcdn.net,facebook.com,1
giphy.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ups.com,fbcdn.net,1
fbcdn.net,facebook.com,1
academia.edu,fbcdn.net,1
fbcdn.net,facebook.com,1
wikihow.com,fbcdn.net,1
fbcdn.net,facebook.com,1
theatlantic.com,fbcdn.net,1
fbcdn.net,facebook.com,1
coursera.org,fbcdn.net,1
fbcdn.net,facebook.com,1
buzzfeed.com,fbcdn.net,1
fbcdn.net,facebook.com,1
nicovideo.jp,fbcdn.net,1
fbcdn.net,facebook.com,1
pbs.org,fbcdn.net,1
fbcdn.net,facebook.com,1
investing.com,fbcdn.net,1
fbcdn.net,facebook.com,1
change.org,fbcdn.net,1
fbcdn.net,facebook.com,1
economist.com,fbcdn.net,1
fbcdn.net,facebook.com,1
shein.com,fbcdn.net,1
fbcdn.net,facebook.com,1
abc.net.au,fbcdn.net,1
fbcdn.net,facebook.com,1
quillbot.com,fbcdn.net,1
fbcdn.net,facebook.com,1
cbc.ca,fbcdn.net,1
fbcdn.net,facebook.com,1
jimdo.com,fbcdn.net,1
fbcdn.net,facebook.com,1
theconversation.com,fbcdn.net,1
fbcdn.net,facebook.com,1
remove.bg,fbcdn.net,1
fbcdn.net,facebook.com,1
frontiersin.org,fbcdn.net,1
fbcdn.net,facebook.com,1
fortune.com,fbcdn.net,1
fbcdn.net,facebook.com,1
9gag.com,fbcdn.net,1
fbcdn.net,facebook.com,1
constantcontact.com,fbcdn.net,1
fbcdn.net,facebook.com,1
myanimelist.net,fbcdn.net,1
fbcdn.net,facebook.com,1
newsweek.com,fbcdn.net,1
fbcdn.net,facebook.com,1
genius.com,fbcdn.net,1
fbcdn.net,facebook.com,1
meetup.com,fbcdn.net,1
fbcdn.net,facebook.com,1
geeksforgeeks.org,fbcdn.net,1
fbcdn.net,facebook.com,1
shopee.tw,fbcdn.net,1
fbcdn.net,facebook.com,1
ebay.co.uk,fbcdn.net,1
fbcdn.net,facebook.com,1
gamespot.com,fbcdn.net,1
fbcdn.net,facebook.com,1
wattpad.com,fbcdn.net,1
fbcdn.net,facebook.com,1
artstation.com,fbcdn.net,1
fbcdn.net,facebook.com,1
2gis.com,fbcdn.net,1
fbcdn.net,facebook.com,1
openstreetmap.org,fbcdn.net,1
fbcdn.net,facebook.com,1
stumbleupon.com,fbcdn.net,1
fbcdn.net,facebook.com,1
entrepreneur.com,fbcdn.net,1
fbcdn.net,facebook.com,1
gumroad.com,fbcdn.net,1
fbcdn.net,facebook.com,1
chegg.com,fbcdn.net,1
fbcdn.net,facebook.com,1
fbcdn.net,facebook.com,1
appcenter.ms,fbcdn.net,1
fbcdn.net,facebook.com,1
glassdoor.com,fbcdn.net,1
fbcdn.net,facebook.com,1
nexon.com,fbcdn.net,1
fbcdn.net,facebook.com,1
nextdoor.com,fbcdn.net,1
fbcdn.net,facebook.com,1
sketchfab.com,fbcdn.net,1
fbcdn.net,facebook.com,1
shopee.co.id,fbcdn.net,1
fbcdn.net,facebook.com,1
flaticon.com,fbcdn.net,1
fbcdn.net,facebook.com,1
chicagotribune.com,fbcdn.net,1
fbcdn.net,facebook.com,1
indiegogo.com,fbcdn.net,1
fbcdn.net,facebook.com,1
codepen.io,fbcdn.net,1
fbcdn.net,facebook.com,1
qz.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pvp.net,fbcdn.net,1
fbcdn.net,facebook.com,1
khanacademy.org,fbcdn.net,1
fbcdn.net,facebook.com,1
rumble.com,fbcdn.net,1
fbcdn.net,facebook.com,1
miro.com,fbcdn.net,1
fbcdn.net,facebook.com,1
rakuten.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ibb.co,fbcdn.net,1
fbcdn.net,facebook.com,1
prezi.com,fbcdn.net,1
fbcdn.net,facebook.com,1
cutt.ly,fbcdn.net,1
fbcdn.net,facebook.com,1
hootsuite.com,fbcdn.net,1
fbcdn.net,facebook.com,1
wise.com,fbcdn.net,1
fbcdn.net,facebook.com,1
discogs.com,fbcdn.net,1
fbcdn.net,facebook.com,1
thedailybeast.com,fbcdn.net,1
fbcdn.net,facebook.com,1
altervista.org,fbcdn.net,1
fbcdn.net,facebook.com,1
insider.com,fbcdn.net,1
fbcdn.net,facebook.com,1
agoda.com,fbcdn.net,1
fbcdn.net,facebook.com,1
shopee.co.th,fbcdn.net,1
fbcdn.net,facebook.com,1
newscientist.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ucoz.net,fbcdn.net,1
fbcdn.net,facebook.com,1
biblegateway.com,fbcdn.net,1
fbcdn.net,facebook.com,1
flipboard.com,fbcdn.net,1
fbcdn.net,facebook.com,1
smallpdf.com,fbcdn.net,1
fbcdn.net,facebook.com,1
theglobeandmail.com,fbcdn.net,1
fbcdn.net,facebook.com,1
repubblica.it,fbcdn.net,1
fbcdn.net,facebook.com,1
aliexpress.us,fbcdn.net,1
fbcdn.net,facebook.com,1
nydailynews.com,fbcdn.net,1
fbcdn.net,facebook.com,1
parallels.com,fbcdn.net,1
fbcdn.net,facebook.com,1
mercari.com,fbcdn.net,1
fbcdn.net,facebook.com,1
thefreedictionary.com,fbcdn.net,1
fbcdn.net,facebook.com,1
shopee.com.my,fbcdn.net,1
fbcdn.net,facebook.com,1
instructables.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ning.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pastebin.com,fbcdn.net,1
fbcdn.net,facebook.com,1
seekingalpha.com,fbcdn.net,1
fbcdn.net,facebook.com,1
lefigaro.fr,fbcdn.net,1
fbcdn.net,facebook.com,1
doordash.com,fbcdn.net,1
fbcdn.net,facebook.com,1
sapo.pt,fbcdn.net,1
fbcdn.net,facebook.com,1
ahrefs.com,fbcdn.net,1
fbcdn.net,facebook.com,1
about.me,fbcdn.net,1
fbcdn.net,facebook.com,1
technologyreview.com,fbcdn.net,1
fbcdn.net,facebook.com,1
zapier.com,fbcdn.net,1
fbcdn.net,facebook.com,1
livestream.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pikabu.ru,fbcdn.net,1
fbcdn.net,facebook.com,1
welt.de,fbcdn.net,1
fbcdn.net,facebook.com,1
medscape.com,fbcdn.net,1
fbcdn.net,facebook.com,1
idnes.cz,fbcdn.net,1
fbcdn.net,facebook.com,1
gotinder.com,fbcdn.net,1
fbcdn.net,facebook.com,1
lazada.co.th,fbcdn.net,1
fbcdn.net,facebook.com,1
500px.com,fbcdn.net,1
fbcdn.net,facebook.com,1
toyota.com,fbcdn.net,1
fbcdn.net,facebook.com,1
allrecipes.com,fbcdn.net,1
fbcdn.net,facebook.com,1
myfitnesspal.com,fbcdn.net,1
fbcdn.net,facebook.com,1
jimdofree.com,fbcdn.net,1
fbcdn.net,facebook.com,1
edx.org,fbcdn.net,1
fbcdn.net,facebook.com,1
vecteezy.com,fbcdn.net,1
fbcdn.net,facebook.com,1
shopee.vn,fbcdn.net,1
fbcdn.net,facebook.com,1
lonelyplanet.com,fbcdn.net,1
fbcdn.net,facebook.com,1
lg.com,fbcdn.net,1
fbcdn.net,facebook.com,1
cbssports.com,fbcdn.net,1
fbcdn.net,facebook.com,1
goodhousekeeping.com,fbcdn.net,1
fbcdn.net,facebook.com,1
thestar.com,fbcdn.net,1
fbcdn.net,facebook.com,1
livechatinc.com,fbcdn.net,1
fbcdn.net,facebook.com,1
sportskeeda.com,fbcdn.net,1
fbcdn.net,facebook.com,1
justwatch.com,fbcdn.net,1
fbcdn.net,facebook.com,1
17track.net,fbcdn.net,1
fbcdn.net,facebook.com,1
boredpanda.com,fbcdn.net,1
fbcdn.net,facebook.com,1
patch.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pixnet.net,fbcdn.net,1
fbcdn.net,facebook.com,1
made-in-china.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ultimate-guitar.com,fbcdn.net,1
fbcdn.net,facebook.com,1
windy.com,fbcdn.net,1
fbcdn.net,facebook.com,1
badoocdn.com,fbcdn.net,1
fbcdn.net,facebook.com,1
scoop.it,fbcdn.net,1
fbcdn.net,facebook.com,1
polygon.com,fbcdn.net,1
fbcdn.net,facebook.com,1
redbull.com,fbcdn.net,1
fbcdn.net,facebook.com,1
streamable.com,fbcdn.net,1
fbcdn.net,facebook.com,1
depositphotos.com,fbcdn.net,1
fbcdn.net,facebook.com,1
answers.com,fbcdn.net,1
fbcdn.net,facebook.com,1
gopro.com,fbcdn.net,1
fbcdn.net,facebook.com,1
freelancer.com,fbcdn.net,1
fbcdn.net,facebook.com,1
op.gg,fbcdn.net,1
fbcdn.net,facebook.com,1
habr.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ryanair.com,fbcdn.net,1
fbcdn.net,facebook.com,1
calameo.com,fbcdn.net,1
fbcdn.net,facebook.com,1
strava.com,fbcdn.net,1
fbcdn.net,facebook.com,1
fliphtml5.com,fbcdn.net,1
fbcdn.net,facebook.com,1
cern.ch,fbcdn.net,1
fbcdn.net,facebook.com,1
techrepublic.com,fbcdn.net,1
fbcdn.net,facebook.com,1
lazada.com.ph,fbcdn.net,1
fbcdn.net,facebook.com,1
ubereats.com,fbcdn.net,1
fbcdn.net,facebook.com,1
bumble.com,fbcdn.net,1
fbcdn.net,facebook.com,1
4shared.com,fbcdn.net,1
fbcdn.net,facebook.com,1
japantimes.co.jp,fbcdn.net,1
fbcdn.net,facebook.com,1
wargaming.net,fbcdn.net,1
fbcdn.net,facebook.com,1
justia.com,fbcdn.net,1
fbcdn.net,facebook.com,1
atlasobscura.com,fbcdn.net,1
fbcdn.net,facebook.com,1
webtoons.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pixlr.com,fbcdn.net,1
fbcdn.net,facebook.com,1
shopee.ph,fbcdn.net,1
fbcdn.net,facebook.com,1
trip.com,fbcdn.net,1
fbcdn.net,facebook.com,1
codecademy.com,fbcdn.net,1
fbcdn.net,facebook.com,1
olx.ua,fbcdn.net,1
fbcdn.net,facebook.com,1
popsci.com,fbcdn.net,1
fbcdn.net,facebook.com,1
theweathernetwork.com,fbcdn.net,1
fbcdn.net,facebook.com,1
flashscore.com,fbcdn.net,1
fbcdn.net,facebook.com,1
nj.com,fbcdn.net,1
fbcdn.net,facebook.com,1
startribune.com,fbcdn.net,1
fbcdn.net,facebook.com,1
archdaily.com,fbcdn.net,1
fbcdn.net,facebook.com,1
video.az,fbcdn.net,1
fbcdn.net,facebook.com,1
realestate.com.au,fbcdn.net,1
fbcdn.net,facebook.com,1
heyfiesta.com,fbcdn.net,1
fbcdn.net,facebook.com,1
lazada.com.my,fbcdn.net,1
fbcdn.net,facebook.com,1
arduino.cc,fbcdn.net,1
fbcdn.net,facebook.com,1
plex.tv,fbcdn.net,1
fbcdn.net,facebook.com,1
monster.com,fbcdn.net,1
fbcdn.net,facebook.com,1
abc.es,fbcdn.net,1
fbcdn.net,facebook.com,1
olx.pl,fbcdn.net,1
fbcdn.net,facebook.com,1
flightradar24.com,fbcdn.net,1
fbcdn.net,facebook.com,1
uefa.com,fbcdn.net,1
fbcdn.net,facebook.com,1
eonline.com,fbcdn.net,1
fbcdn.net,facebook.com,1
iherb.com,fbcdn.net,1
fbcdn.net,facebook.com,1
infogram.com,fbcdn.net,1
fbcdn.net,facebook.com,1
reverbnation.com,fbcdn.net,1
fbcdn.net,facebook.com,1
tunein.com,fbcdn.net,1
fbcdn.net,facebook.com,1
poshmark.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ynet.co.il,fbcdn.net,1
fbcdn.net,facebook.com,1
ko-fi.com,fbcdn.net,1
fbcdn.net,facebook.com,1
acer.com,fbcdn.net,1
fbcdn.net,facebook.com,1
groupon.com,fbcdn.net,1
fbcdn.net,facebook.com,1
gazzetta.it,fbcdn.net,1
fbcdn.net,facebook.com,1
marthastewart.com,fbcdn.net,1
fbcdn.net,facebook.com,1
oregonlive.com,fbcdn.net,1
fbcdn.net,facebook.com,1
baltimoresun.com,fbcdn.net,1
fbcdn.net,facebook.com,1
afreecatv.com,fbcdn.net,1
fbcdn.net,facebook.com,1
mydramalist.com,fbcdn.net,1
fbcdn.net,facebook.com,1
drugs.com,fbcdn.net,1
fbcdn.net,facebook.com,1
skillshare.com,fbcdn.net,1
fbcdn.net,facebook.com,1
vulture.com,fbcdn.net,1
fbcdn.net,facebook.com,1
nvidia.cn,fbcdn.net,1
fbcdn.net,facebook.com,1
crazygames.com,fbcdn.net,1
